City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
551,Dubbo,AU,68.13,light rain,-32.25,148.6167,Comfort Inn Blue Lagoon
552,Maragogi,BR,73.69,moderate rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
556,Najran,SA,68.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
557,Ascension,US,74.26,clear sky,30.2169,-90.9001,Highland Inn
558,Dubai,AE,87.73,dust,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
559,Estelle,US,73.99,light rain,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
565,Mumbwa,ZM,73.06,few clouds,-14.9783,27.0619,Mumbwa Motel
566,Port Blair,IN,84.33,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
567,Zabid,YE,86.07,broken clouds,14.1951,43.3152,دار الضيافة
568,Seydi,TM,66.54,scattered clouds,39.4816,62.9137,Seydi oteli
573,Acara,BR,72.27,broken clouds,-1.9608,-48.1967,Hotel Vale do Acará
575,Kavaratti,IN,81.72,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
577,Nhulunbuy,AU,88.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
578,Inhambane,MZ,69.78,few clouds,-23.865,35.3833,Oceano
581,Bida,NG,72.97,broken clouds,9.0833,6.0167,Royal Suite
583,Sambava,MG,71.28,broken clouds,-14.2667,50.1667,Melrose
585,Cotonou,BJ,80.58,light rain,6.3654,2.4183,Novotel Cotonou Orisha
586,Cockburn Town,TC,82.94,clear sky,21.4612,-71.1419,Osprey Beach Hotel
587,Mecca,SA,79.81,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
588,Bubaque,GW,81.07,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
589,Manta,EC,71.38,broken clouds,-0.95,-80.7333,Balandra Hotel
593,Jijiga,ET,65.93,broken clouds,9.35,42.8,RAMAAS HOTEL
596,Agadir,MA,66.65,clear sky,30.4202,-9.5982,Iberostar Founty Beach
598,Rincon,US,75.85,clear sky,32.296,-81.2354,Days Inn Rincon
600,Kalabo,ZM,71.08,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
601,Araure,VE,81.95,overcast clouds,9.5601,-69.2148,Hotel Las Majaguas
603,Dori,BF,84.6,broken clouds,14.0354,-0.0345,Hôtel Liptako
604,Lucea,JM,82.26,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
605,Gasa,PS,69.78,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
606,Buala,SB,84.31,light rain,-8.145,159.5921,Maringe Lagoon Lodge
609,Juba,SS,70.75,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
611,Guangyuan,CN,79.2,light rain,32.442,105.823,Guangyuan Poetry Hotel
613,Kualakapuas,ID,78.96,broken clouds,-3.0091,114.3876,Guest House Izonk
616,Macon,US,72.66,clear sky,39.8667,-88.9668,Haworth Cottage
620,Sorong,ID,83.08,light rain,-0.8833,131.25,waigo splash hotel
621,Hirara,JP,87.66,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
623,Chandrapur,IN,83.5,few clouds,19.95,79.3,Surya Guest House
628,Waycross,US,69.91,clear sky,31.2136,-82.354,Super 8 by Wyndham Waycross GA
635,Moerai,PF,75.7,clear sky,-22.4333,-151.3333,Le Manotel
